table,column,key,value,description
pdd_puf_c,epoa3,W,Clinically undetermined,
pdd_puf_c,epoa3,Y,Present at Admission,
pdd_puf_c,epoa4,0,Invalid/blank,
pdd_puf_c,epoa4,*,*,
pdd_puf_c,epoa4,E,Exempt from POA reporting,
pdd_puf_c,epoa4,N,Not Present at Admission,
pdd_puf_c,epoa4,NN,None,
pdd_puf_c,epoa4,U,Unknown,
pdd_puf_c,epoa4,W,Clinically undetermined,
pdd_puf_c,epoa4,Y,Present at Admission,
pdd_puf_c,poa_p,0,Invalid/blank,
pdd_puf_c,poa_p,*,*,
pdd_puf_c,poa_p,E,Exempt from POA reporting,
pdd_puf_c,poa_p,N,Not Present at Admission,
pdd_puf_c,poa_p,U,Unknown,
pdd_puf_c,poa_p,W,Clinically undetermined,
pdd_puf_c,poa_p,Y,Present at Admission,
pdd_puf_c,opoa1,0,Invalid/blank,
pdd_puf_c,opoa1,4,None,
pdd_puf_c,opoa1,*,*,
pdd_puf_c,opoa1,E,Exempt from POA reporting,
pdd_puf_c,opoa1,N,Not Present at Admission,
pdd_puf_c,opoa1,U,Unknown,
pdd_puf_c,opoa1,W,Clinically undetermined,
pdd_puf_c,opoa1,Y,Present at Admission,
pdd_puf_c,opoa2,0,Invalid/blank,
pdd_puf_c,opoa2,3,None,
pdd_puf_c,opoa2,*,*,
pdd_puf_c,opoa2,E,Exempt from POA reporting,
pdd_puf_c,opoa2,N,Not Present at Admission,
pdd_puf_c,opoa2,U,Unknown,
pdd_puf_c,opoa2,W,Clinically undetermined,
pdd_puf_c,opoa2,Y,Present at Admission,
pdd_puf_c,opoa3,0,Invalid/blank,
pdd_puf_c,opoa3,2,None,
pdd_puf_c,opoa3,*,*,
pdd_puf_c,opoa3,E,Exempt from POA reporting,
pdd_puf_c,opoa3,N,Not Present at Admission,
pdd_puf_c,opoa3,U,Unknown,
pdd_puf_c,opoa3,W,Clinically undetermined,
pdd_puf_c,opoa3,Y,Present at Admission,
pdd_puf_c,opoa4,0,Invalid/blank,
pdd_puf_c,opoa4,2,None,
pdd_puf_c,opoa4,*,*,
pdd_puf_c,opoa4,E,Exempt from POA reporting,
pdd_puf_c,opoa4,N,Not Present at Admission,
pdd_puf_c,opoa4,U,Unknown,
pdd_puf_c,opoa4,W,Clinically undetermined,
pdd_puf_c,opoa4,Y,Present at Admission,
pdd_puf_c,opoa5,0,Invalid/blank,
pdd_puf_c,opoa5,2,None,
pdd_puf_c,opoa5,*,*,
pdd_puf_c,opoa5,E,Exempt from POA reporting,
pdd_puf_c,opoa5,N,Not Present at Admission,
pdd_puf_c,opoa5,U,Unknown,
pdd_puf_c,opoa5,W,Clinically undetermined,
pdd_puf_c,opoa5,Y,Present at Admission,
pdd_puf_c,opoa6,0,Invalid/blank,
pdd_puf_c,opoa6,2,None,
pdd_puf_c,opoa6,*,*,
pdd_puf_c,opoa6,E,Exempt from POA reporting,
pdd_puf_c,opoa6,N,Not Present at Admission,
pdd_puf_c,opoa6,U,Unknown,
pdd_puf_c,opoa6,W,Clinically undetermined,
pdd_puf_c,opoa6,Y,Present at Admission,
pdd_puf_c,opoa7,0,Invalid/blank,
pdd_puf_c,opoa7,1,None,
pdd_puf_c,opoa7,*,*,
pdd_puf_c,opoa7,E,Exempt from POA reporting,
pdd_puf_c,opoa7,N,Not Present at Admission,
pdd_puf_c,opoa7,U,Unknown,
pdd_puf_c,opoa7,W,Clinically undetermined,
pdd_puf_c,opoa7,Y,Present at Admission,
pdd_puf_c,opoa8,0,Invalid/blank,
pdd_puf_c,opoa8,1,None,
pdd_puf_c,opoa8,*,*,
pdd_puf_c,opoa8,E,Exempt from POA reporting,
pdd_puf_c,opoa8,N,Not Present at Admission,
pdd_puf_c,opoa8,Y,Present at Admission,
pdd_puf_c,opoa8,U,Unknown,
pdd_puf_c,opoa8,W,Clinically undetermined,
pdd_puf_c,opoa9,0,Invalid/blank,
pdd_puf_c,opoa9,1,None,
pdd_puf_c,opoa9,*,*,
pdd_puf_c,opoa9,E,Exempt from POA reporting,
pdd_puf_c,opoa9,N,Not Present at Admission,
pdd_puf_c,opoa9,U,Unknown,
pdd_puf_c,opoa9,W,Clinically undetermined,
pdd_puf_c,opoa9,Y,Present at Admission,
pdd_puf_c,opoa10,0,Invalid/blank,
pdd_puf_c,opoa10,1,None,
pdd_puf_c,opoa10,*,*,
pdd_puf_c,opoa10,E,Exempt from POA reporting,
pdd_puf_c,opoa10,N,Not Present at Admission,
pdd_puf_c,opoa10,U,Unknown,
pdd_puf_c,opoa10,W,Clinically undetermined,
pdd_puf_c,opoa10,Y,Present at Admission,
pdd_puf_c,opoa11,0,Invalid/blank,
pdd_puf_c,opoa11,*,*,
pdd_puf_c,opoa11,E,Exempt from POA reporting,
pdd_puf_c,opoa11,N,Not Present at Admission,
pdd_puf_c,opoa11,NN,None,
pdd_puf_c,opoa11,U,Unknown,
pdd_puf_c,opoa11,W,Clinically undetermined,
pdd_puf_c,opoa11,Y,Present at Admission,
pdd_puf_c,opoa12,0,Invalid/blank,
pdd_puf_c,opoa12,*,*,
pdd_puf_c,opoa12,E,Exempt from POA reporting,
pdd_puf_c,opoa12,N,Not Present at Admission,
pdd_puf_c,opoa12,NN,None,
pdd_puf_c,opoa12,U,Unknown,
pdd_puf_c,opoa12,W,Clinically undetermined,
pdd_puf_c,opoa12,Y,Present at Admission,
pdd_puf_c,opoa13,0,Invalid/blank,
pdd_puf_c,opoa13,*,*,
pdd_puf_c,opoa13,E,Exempt from POA reporting,
pdd_puf_c,opoa13,N,Not Present at Admission,
pdd_puf_c,opoa13,NN,None,
pdd_puf_c,opoa13,U,Unknown,
pdd_puf_c,opoa13,W,Clinically undetermined,
pdd_puf_c,opoa13,Y,Present at Admission,
pdd_puf_c,opoa14,0,Invalid/blank,
pdd_puf_c,opoa14,*,*,
pdd_puf_c,opoa14,E,Exempt from POA reporting,
pdd_puf_c,opoa14,N,Not Present at Admission,
pdd_puf_c,opoa14,NN,None,
pdd_puf_c,opoa14,U,Unknown,
pdd_puf_c,opoa14,W,Clinically undetermined,
pdd_puf_c,opoa14,Y,Present at Admission,
pdd_puf_c,opoa15,0,Invalid/blank,
pdd_puf_c,opoa15,*,*,
pdd_puf_c,opoa15,E,Exempt from POA reporting,
pdd_puf_c,opoa15,N,Not Present at Admission,
pdd_puf_c,opoa15,NN,None,
pdd_puf_c,opoa15,U,Unknown,
pdd_puf_c,opoa15,W,Clinically undetermined,
pdd_puf_c,opoa15,Y,Present at Admission,
pdd_puf_c,opoa16,0,Invalid/blank,
pdd_puf_c,opoa16,*,*,
pdd_puf_c,opoa16,E,Exempt from POA reporting,
pdd_puf_c,opoa16,N,Not Present at Admission,
pdd_puf_c,opoa16,NN,None,
pdd_puf_c,opoa16,U,Unknown,
pdd_puf_c,opoa16,W,Clinically undetermined,
pdd_puf_c,opoa16,Y,Present at Admission,
pdd_puf_c,opoa17,0,Invalid/blank,
pdd_puf_c,opoa17,*,*,
pdd_puf_c,opoa17,E,Exempt from POA reporting,
pdd_puf_c,opoa17,N,Not Present at Admission,
pdd_puf_c,opoa17,NN,None,
pdd_puf_c,opoa17,U,Unknown,
pdd_puf_c,opoa17,W,Clinically undetermined,
pdd_puf_c,opoa17,Y,Present at Admission,
pdd_puf_c,opoa18,0,Invalid/blank,
pdd_puf_c,opoa18,*,*,
pdd_puf_c,opoa18,E,Exempt from POA reporting,
pdd_puf_c,opoa18,N,Not Present at Admission,
pdd_puf_c,opoa18,NN,None,
pdd_puf_c,opoa18,U,Unknown,
pdd_puf_c,opoa18,W,Clinically undetermined,
pdd_puf_c,opoa18,Y,Present at Admission,
pdd_puf_c,opoa19,0,Invalid/blank,
pdd_puf_c,opoa19,*,*,
pdd_puf_c,opoa19,E,Exempt from POA reporting,
pdd_puf_c,opoa19,N,Not Present at Admission,
pdd_puf_c,opoa19,NN,None,
pdd_puf_c,opoa19,U,Unknown,
pdd_puf_c,opoa19,W,Clinically undetermined,
pdd_puf_c,opoa19,Y,Present at Admission,
pdd_puf_c,opoa20,0,Invalid/blank,
pdd_puf_c,opoa20,*,*,
pdd_puf_c,opoa20,E,Exempt from POA reporting,
pdd_puf_c,opoa20,N,Not Present at Admission,
pdd_puf_c,opoa20,NN,None,
pdd_puf_c,opoa20,U,Unknown,
pdd_puf_c,opoa20,W,Clinically undetermined,
pdd_puf_c,opoa20,Y,Present at Admission,
pdd_puf_c,opoa21,0,Invalid/blank,
pdd_puf_c,opoa21,*,*,
pdd_puf_c,opoa21,E,Exempt from POA reporting,
pdd_puf_c,opoa21,N,Not Present at Admission,
pdd_puf_c,opoa21,NN,None,
pdd_puf_c,opoa21,U,Unknown,
pdd_puf_c,opoa21,W,Clinically undetermined,
pdd_puf_c,opoa21,Y,Present at Admission,
pdd_puf_c,opoa22,0,Invalid/blank,
pdd_puf_c,opoa22,*,*,
pdd_puf_c,opoa22,E,Exempt from POA reporting,
pdd_puf_c,opoa22,N,Not Present at Admission,
pdd_puf_c,opoa22,NN,None,
pdd_puf_c,opoa22,U,Unknown,
pdd_puf_c,opoa22,W,Clinically undetermined,
pdd_puf_c,opoa22,Y,Present at Admission,
pdd_puf_c,opoa23,0,Invalid/blank,
pdd_puf_c,opoa23,*,*,
pdd_puf_c,opoa23,E,Exempt from POA reporting,
pdd_puf_c,opoa23,N,Not Present at Admission,
pdd_puf_c,opoa23,NN,None,
pdd_puf_c,opoa23,U,Unknown,
pdd_puf_c,opoa23,W,Clinically undetermined,
pdd_puf_c,opoa23,Y,Present at Admission,
pdd_puf_c,opoa24,0,Invalid/blank,
pdd_puf_c,opoa24,*,*,
pdd_puf_c,opoa24,E,Exempt from POA reporting,
pdd_puf_c,opoa24,N,Not Present at Admission,
pdd_puf_c,opoa24,NN,None,
pdd_puf_c,opoa24,U,Unknown,
pdd_puf_c,opoa24,W,Clinically undetermined,
pdd_puf_c,opoa24,Y,Present at Admission,
pdd_puf_c,sev_code,0,Not based on the presence of CC or MCC,
pdd_puf_c,sev_code,1,Based on the presence of MCC,
pdd_puf_c,sev_code,2,Based on the presence of CC,
pdd_puf_c,sev_code,*,*,
pdd_puf_c,cat_code,*,*,
pdd_puf_c,cat_code,M,Medical MSDRG,
pdd_puf_c,cat_code,S,Surgical MSDRG,
pdd_puf_c,cat_code,X,Ungroupable MSDRG,
pdd_puf_c,mdc_name,0,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,
pdd_puf_c,mdc_name,1,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,2,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,3,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,
pdd_puf_c,mdc_name,4,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,5,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,6,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,7,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,8,"NERVOUS SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,9,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,10,INFECTIOUS & PARASITIC DISEASES,
pdd_puf_c,mdc_name,11,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,12,ALCOHOLDRUG USE AND ALCOHOLDRUG INDUCED ORGANIC MENTAL DISEASES,
pdd_puf_c,mdc_name,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,14,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,15,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",
pdd_puf_c,mdc_name,16,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",
pdd_puf_c,mdc_name,17,MENTAL DISEASES & DISORDERS,
pdd_puf_c,mdc_name,18,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,19,"EYE, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,20,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",
pdd_puf_c,mdc_name,21,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,
pdd_puf_c,mdc_name,22,MULTIPLE SIGNFICANT TRAUMA,
pdd_puf_c,mdc_name,23,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,
pdd_puf_c,mdc_name,24,UNGROUPABLE,
pdd_puf_c,mdc_name,25,BURNS,
pdd_puf_c,mdc_name,*,*,
