table,seq,column,is_pk,is_fk,id,type,size,description
pdd_puf,12,ecode1,,,c03V0100c,VARCHAR,5,"External Cause of Injury  Other E-Code (up to 4). The additional external cause of injury or poisoning or adverse effect codes (E800-E999) that completely describe the mechanisms that contributed to, or the causal events surrounding, any injury, poisoning, or adverse effect. Up to 4 other E-Codes should be included for the first reported episode of care for which the injury, poisoning, or adverse effect was first diagnosed and/or treated only. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,13,epoa1,,,c03V0100d,VARCHAR,25,"Present on Admission (POA)  Other E-Codes (up to 4). An External Cause of Injury is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting on other E-Codes for all reported discharges on or after July 1, 2008. POA values E and 1 were discontinued as a national standard as of July 1, 2011, however OSHPD continues to accept them. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,14,ecode2,,,c03V0100e,VARCHAR,5,"External Cause of Injury  Other E-Code (up to 4). The additional external cause of injury or poisoning or adverse effect codes (E800-E999) that completely describe the mechanisms that contributed to, or the causal events surrounding, any injury, poisoning, or adverse effect. Up to 4 other E-Codes should be included for the first reported episode of care for which the injury, poisoning, or adverse effect was first diagnosed and/or treated only. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,15,epoa2,,,c03V0100f,VARCHAR,25,"Present on Admission (POA)  Other E-Codes (up to 4). An External Cause of Injury is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting on other E-Codes for all reported discharges on or after July 1, 2008. POA values E and 1 were discontinued as a national standard as of July 1, 2011, however OSHPD continues to accept them. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,16,ecode3,,,c03V0100g,VARCHAR,5,"External Cause of Injury  Other E-Code (up to 4). The additional external cause of injury or poisoning or adverse effect codes (E800-E999) that completely describe the mechanisms that contributed to, or the causal events surrounding, any injury, poisoning, or adverse effect. Up to 4 other E-Codes should be included for the first reported episode of care for which the injury, poisoning, or adverse effect was first diagnosed and/or treated only. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,17,epoa3,,,c03V0100h,VARCHAR,25,"Present on Admission (POA)  Other E-Codes (up to 4). An External Cause of Injury is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting on other E-Codes for all reported discharges on or after July 1, 2008. POA values E and 1 were discontinued as a national standard as of July 1, 2011, however OSHPD continues to accept them. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,18,ecode4,,,c03V0100i,VARCHAR,5,"External Cause of Injury  Other E-Code (up to 4). The additional external cause of injury or poisoning or adverse effect codes (E800-E999) that completely describe the mechanisms that contributed to, or the causal events surrounding, any injury, poisoning, or adverse effect. Up to 4 other E-Codes should be included for the first reported episode of care for which the injury, poisoning, or adverse effect was first diagnosed and/or treated only. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,19,epoa4,,,c03V0100j,VARCHAR,25,"Present on Admission (POA)  Other E-Codes (up to 4). An External Cause of Injury is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting on other E-Codes for all reported discharges on or after July 1, 2008. POA values E and 1 were discontinued as a national standard as of July 1, 2011, however OSHPD continues to accept them. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
pdd_puf,20,mdc,,,c03V0100k,VARCHAR,2,"Major Diagnostic Category (MDC). MDC code (for example, 22). The Major Diagnostic Categories (MDC) are formed by dividing all possible principal diagnoses (from ICD-9) into 25 mutually exclusive diagnosis groupings. The diagnoses in each MDC correspond to a single organ system or etiology and, in general, are associated with a particular medical specialty. MDC 1 to MDC 23 are grouped according to principal diagnosis. Patients are assigned to MDC 24 (Multiple Significant Trauma) with at least two significant trauma diagnosis codes (either as principal or secondary) from different body site categories. Patients assigned to MDC 25 (HIV Infections) must have a principal diagnosis of an HIV Infection or a principal diagnosis of a significant HIV related condition and a secondary diagnosis of an HIV Infection. Some discharges are associated with procedures that are resource intensive and may be associated with multiple diagnosis domains (for example, transplants, MS-DRG 001-017), or procedures that are unrelated to the principal diagnosis (MS-DRG 981-989). These records are assigned to a variety of MDCs, based on the principal diagnosis instead of the MDC associated with the designated DRG. A MDC of 00 is assigned to records that are ungroupable. Ungroupable records include those where the principal diagnosis is not an existing ICD-9-CM code or the sex code does not logically relate to the diagnosis or procedure. For a list of MDC codes and labels see Appendix I - Major Diagnostic Categories (MDC). Note that MDC codes and their associated labels potentially change across years and year-specific code-label crosswalk lists must be used."
pdd_puf,21,msdrg,,,c03V0100l,VARCHAR,3,"Medicare Severity-Diagnosis Related Group (MS-DRG). MS-DRG code (for example, 028). One MS-DRG is assigned to each inpatient stay. The MS-DRGs are assigned using the principal diagnosis and additional diagnoses, the principal procedure and additional procedures, sex, and discharge status. For a list of MS-DRG codes and labels see Appendix J - Medicare Severity-Diagnosis Related Groups (MS-DRG). Also see the MS-DRG Grouper Version variable (grouper)."
pdd_puf,22,diag_p,,,c03V0100m,VARCHAR,5,"Principal Diagnosis. The condition established, after study, to be the chief cause of the admission of the patient to the hospital for care. Diagnoses are coded according to the ICD-9-CM."
pdd_puf,23,poa_p,,,c03V0100n,VARCHAR,25,"Present on Admission (POA)  Principal Diagnosis. A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008."
pdd_puf,24,proc_p,,,c03V0100o,VARCHAR,4,"Principal Procedure. The procedure that is the one that was performed for definitive treatment rather than one performed for diagnostic or exploratory purposes or was necessary to take care of a complication. If there appear to be two procedures that are principal, then the one most related to the principal diagnosis was reported as principal procedure. When a patient is admitted within 72 hours (3 days) of a procedure performed in a licensed ambulatory surgery facility or as an outpatient in a hospital, the admitting hospital is required, under billing requirements, to add the procedure (and date) to the inpatient record. Therefore, procedures performed up to 3 days prior to admission are reported. Procedures are coded according to the ICD-9-CM."
pdd_puf,25,proc_pdy,,,c03V0100p,INTEGER,4,"Principal Procedure Days. The number of days between the patient's date of admission and date of the principal procedure. If the procedure was performed prior to admission, this value will be prefixed with a minus (-) sign. If no procedure was performed, the days to principal procedure were shown as (.)."
pdd_puf,26,odiag1,,,c03V0100q,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,27,opoa1,,,c03V0100r,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,28,odiag2,,,c03V0100s,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,29,opoa2,,,c03V0100t,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,30,odiag3,,,c03V0100u,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,31,opoa3,,,c03V0100v,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,32,odiag4,,,c03V0100w,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,33,opoa4,,,c03V0100x,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,34,odiag5,,,c03V0100y,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,35,opoa5,,,c03V0100z,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,36,odiag6,,,c03V0100A,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,37,opoa6,,,c03V0100B,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,38,odiag7,,,c03V0100C,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,39,opoa7,,,c03V0100D,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,40,odiag8,,,c03V0100E,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,41,opoa8,,,c03V0100F,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,42,odiag9,,,c03V0100G,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,43,opoa9,,,c03V0100H,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,44,odiag10,,,c03V0100I,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,45,opoa10,,,c03V0100J,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,46,odiag11,,,c03V0100K,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,47,opoa11,,,c03V0100L,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,48,odiag12,,,c03V0100M,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,49,opoa12,,,c03V0100N,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,50,odiag13,,,c03V0100O,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,51,opoa13,,,c03V0100P,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,52,odiag14,,,c03V0100Q,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,53,opoa14,,,c03V0100R,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,54,odiag15,,,c03V0100S,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,55,opoa15,,,c03V0100T,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,56,odiag16,,,c03V0100U,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,57,opoa16,,,c03V0100V,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,58,odiag17,,,c03V0100W,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,59,opoa17,,,c03V0100X,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,60,odiag18,,,c03V0100Y,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,61,opoa18,,,c03V0100Z,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,62,odiag19,,,c03V01010,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,63,opoa19,,,c03V01011,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
pdd_puf,64,odiag20,,,c03V01012,VARCHAR,5,"Other Diagnoses (up to 24). All other conditions that coexist at the time of admission, that develop subsequently during the hospital stay, or that affect the treatment received and/or the length of stay. Diagnoses that relate to an earlier episode that have no bearing on the current hospital stay are excluded. They are coded according to the ICD-9-CM. If the reported principal diagnosis code is invalid or missing, it is assigned a default value of 799.9. This variable is masked (*) on records where only one instance of a Principal Diagnosis or Principal Procedure code was reported for a facility."
pdd_puf,65,opoa20,,,c03V01013,VARCHAR,25,"Present on Admission (POA)  Other Diagnoses (up to 24). A condition is considered present on admission (POA) if it is identified in the history and physical examination or documented in the current inpatient medical records (e.g., emergency room, initial progress, initial nursing assessment, clinic/office notes). Facilities were required to begin POA reporting for all discharges on or after July 1, 2008. This variable is masked (*) on records where only one instance of a Principal Diagnosis code or Principal Procedure code was reported for a facility."
